parede_n,Amostra,Quadrante,Valor,D_m,Altura
1,69,9,84,20,0.50
1,69,9,133,25,0.50
1,69,9,161,30,0.50
1,69,9,207,35,0.50
1,70,10,0,0,0.50
1,70,10,39,10,0.50
1,70,10,61,15,0.50
1,70,10,134,20,0.50
1,70,10,183,25,0.50
1,70,10,200,30,0.50
1,70,10,232,35,0.50
1,71,11,0,0,0.30
1,71,11,34,10,0.30
1,71,11,67,15,0.30
1,71,11,76,20,0.30
1,71,11,109,25,0.30
1,71,11,123,30,0.30
1,71,11,147,35,0.30
1,72,12,0,0,0.30
1,72,12,27,10,0.30
1,72,12,63,15,0.30
1,72,12,90,20,0.30
1,72,12,119,25,0.30
1,72,12,171,30,0.30
1,72,12,243,35,0.30
1,73,1,0,0,1.30
1,73,1,33,10,1.30
1,73,1,98,15,1.30
1,73,1,98,20,1.30
1,73,1,185,25,1.30
1,73,1,221,30,1.30
1,73,1,419,35,1.30
1,74,2,0,0,1.30
1,74,2,37,10,1.30
1,74,2,88,15,1.30
1,74,2,132,20,1.30
1,74,2,265,25,1.30
1,74,2,360,30,1.30
1,74,2,551,35,1.30
1,75,3,0,0,1.10
1,75,3,34,10,1.10
1,75,3,52,15,1.10
1,75,3,103,20,1.10
1,75,3,136,25,1.10
1,75,3,153,30,1.10
1,75,3,323,35,1.10
1,76,4,0,0,1.10
1,76,4,35,10,1.10
1,76,4,68,15,1.10
1,76,4,113,20,1.10
1,76,4,125,25,1.10
1,76,4,186,30,1.10
1,76,4,217,35,1.10
1,77,5,0,0,0.90
1,77,5,36,10,0.90
1,77,5,73,15,0.90
1,77,5,176,20,0.90
1,77,5,269,25,0.90
1,77,5,425,30,0.90
1,77,5,583,35,0.90
1,78,6,0,0,0.90
1,78,6,35,10,0.90
1,78,6,63,15,0.90
1,78,6,100,20,0.90
1,78,6,126,25,0.90
1,78,6,247,30,0.90
1,78,6,395,35,0.90
1,79,7,0,0,0.70
1,79,7,49,10,0.70
1,79,7,74,15,0.70
1,79,7,99,20,0.70
1,79,7,126,25,0.70
1,79,7,149,30,0.70
1,79,7,221,35,0.70
1,80,8,0,0,0.70
1,80,8,44,10,0.70
1,80,8,69,15,0.70
1,80,8,103,20,0.70
1,80,8,142,25,0.70
1,80,8,164,30,0.70
1,80,8,184,35,0.70
1,81,9,0,0,0.50
1,81,9,36,10,0.50
1,81,9,68,15,0.50
1,81,9,82,20,0.50
1,81,9,136,25,0.50
1,81,9,199,30,0.50
1,81,9,203,35,0.50
1,82,10,0,0,0.50
1,82,10,41,10,0.50
1,82,10,52,15,0.50
1,82,10,135,20,0.50
1,82,10,198,25,0.50
1,82,10,207,30,0.50
1,82,10,250,35,0.50
1,83,11,0,0,0.30
1,83,11,28,10,0.30
1,83,11,44,15,0.30
1,83,11,71,20,0.30
1,83,11,104,25,0.30
1,83,11,125,30,0.30
1,83,11,135,35,0.30
1,84,12,0,0,0.30
1,84,12,40,10,0.30
1,84,12,63,15,0.30
1,84,12,88,20,0.30
1,84,12,130,25,0.30
1,84,12,167,30,0.30
1,84,12,236,35,0.30
1,85,1,0,0,1.30
1,85,1,32,10,1.30
1,85,1,83,15,1.30
1,85,1,109,20,1.30
1,85,1,171,25,1.30
1,85,1,221,30,1.30
1,85,1,402,35,1.30
1,86,2,0,0,1.30
1,86,2,37,10,1.30
1,86,2,89,15,1.30
1,86,2,149,20,1.30
1,86,2,215,25,1.30
1,86,2,409,30,1.30
1,86,2,595,35,1.30
1,87,3,0,0,1.10
1,87,3,34,10,1.10
1,87,3,45,15,1.10
1,87,3,87,20,1.10
1,87,3,126,25,1.10
1,87,3,139,30,1.10
1,87,3,352,35,1.10
1,88,4,0,0,1.10
1,88,4,21,10,1.10
1,88,4,64,15,1.10
1,88,4,106,20,1.10
1,88,4,92,25,1.10
1,88,4,143,30,1.10
1,88,4,189,35,1.10
1,89,5,0,0,0.90
1,89,5,35,10,0.90
1,89,5,70,15,0.90
1,89,5,122,20,0.90
1,89,5,165,25,0.90
1,89,5,485,30,0.90
1,89,5,510,35,0.90
1,90,6,0,0,0.90
